episode_show_name,category
Another Round,Comedy
TestingMusicvideos,Comedy
Amber Muse radio show,Music
Another Round,Comedy
The Athletic FC Podcast,Sports
Amber Muse radio show,Music
Ethos Athletes Podcast,Sports
Stuff You Should Know,Other
Linear Digressions,Data
The Athletic FC Podcast,Sports
EndIess [CDQ],Other
democracy-ish,Politics
Thirst Aid Kit,Comedy
Football Ramble,Football
Fraudsters,Other
bbyu,Other
Data Engineering Podcast,Data
The Randi Rhodes After Hours Podcast,Politics
Another Round,Comedy
How to Save a Planet,Environment
Berlin Zwanzig: A City in 20 Songs,Music
Unlocking Us with Brené Brown,Other
Build a Career in Data Science,Data
Nosy Neighbors,Other
Lost Notes,Other
Data Engineering Podcast,Data
California Love,Other
democracy-ish,Politics
Naked Data Science,Data
Data Engineering Podcast,Data
Project Fußball,Football
Handbrake Off: The Athletic FC's Arsenal show,Football
Data Learners,Data
Archetypes,Other
Talk Data 2 Me,Data
That Blackass Show ,Comedy
The Athletic FC Tactics Podcast,Sports
Tifo Football Podcast,Football
Football Daily,Football
The Daily Football Briefing,Football
East Coast Creepin',Other
Whore School with Ms. Harper,Comedy
not my problem (jersey),Other
The Daily Football Briefing,Football
The Athletic FC Tactics Podcast,Sports
Sparkleside Chats with Magical Girl Ayu,Anime
